country_year_id,country,year,aid_per_capita,aid_total,Income_group,Region,democracy_score,conflict_present,population,multi_sector_aid,program_support_aid,humanitarian_aid,environment_aid,education_social_aid,health_aid,econdev_aid,democracy_rights_aid,peace_security_aid
Afghanistan-2000,Afghanistan,2000,0.0,0,Low income,South Asia,0.0,Yes,20130327,0,0,0,0,0,0,0,0,0
Afghanistan-2001,Afghanistan,2001,3.300760928140163,66953648,Low income,South Asia,1.67,Yes,20284307,0,0,58183440,82069,8207,3952736,0,131311,4595885
Afghanistan-2002,Afghanistan,2002,30.258300579045386,646865490,Low income,South Asia,1.67,Yes,21378117,0,640357,420523762,395494,0,3332074,2357850,103308647,116307306
Afghanistan-2003,Afghanistan,2003,49.47012250754397,1124606719,Low income,South Asia,2.5,Yes,22733049,51008,7299761,270508359,3215626,1435197,19121950,117977873,2683728,702313217
Afghanistan-2004,Afghanistan,2004,81.4587636429262,1919221664,Low income,South Asia,3.33,Yes,23560653,52281,8019062,87373070,1455782,135437500,75773797,440899679,65645347,1104565146
Afghanistan-2005,Afghanistan,2005,102.2521137129784,2495418560,Low income,South Asia,3.33,Yes,24404567,0,11238265,64615521,74399,244696336,147506830,677720985,111187825,1238378399
Afghanistan-2006,Afghanistan,2006,192.10559302526178,4884110655,Low income,South Asia,3.33,Yes,25424094,0,31002443,134651838,114262,365355424,117033849,1262724590,215685164,2757543085
Afghanistan-2007,Afghanistan,2007,267.78309783475413,6938220433,Low income,South Asia,2.5,Yes,25909852,917365,30456078,133810968,72132,380252838,57816436,857419144,239893087,5237582385
Afghanistan-2008,Afghanistan,2008,436.5216577119894,11560238056,Low income,South Asia,1.67,Yes,26482622,0,48250936,290492750,4537106,282553883,118093411,1155066806,486323558,9174919606
Afghanistan-2009,Afghanistan,2009,428.53328142692266,11770137961,Low income,South Asia,1.67,Yes,27466100,2667237,71540481,231420254,13525748,209530571,150522004,1414717712,989661266,8686552688
Afghanistan-2010,Afghanistan,2010,378.1414154488559,10695385071,Low income,South Asia,1.67,Yes,28284088,0,217311817,172793989,9202822,362013781,193359328,1420023678,1204003917,7116675739
Afghanistan-2011,Afghanistan,2011,518.3970532213282,15213765346,Low income,South Asia,1.67,Yes,29347708,6428087,266511919,242646459,8795037,352543225,230859731,1448265974,1085319214,11572395700
Afghanistan-2012,Afghanistan,2012,433.5192576029202,13248363252,Low income,South Asia,1.67,Yes,30560034,205971,350015842,219384354,1737868,148210312,183851777,1028177253,1830825912,9485953963
Afghanistan-2013,Afghanistan,2013,405.5723889709115,12825295607,Low income,South Asia,1.67,Yes,31622704,8672797,282597826,166915805,5328813,108907100,166609057,806981870,777692342,10501589997
Afghanistan-2014,Afghanistan,2014,269.5749401471793,8840042425,Low income,South Asia,1.67,Yes,32792523,157488550,210112393,264787346,2524203,206104456,108194777,592737526,853209396,6444883778
Afghanistan-2015,Afghanistan,2015,346.4753533535926,11721872040,Low income,South Asia,1.67,Yes,33831763,277385500,270848076,179496708,4722198,127459452,330720610,625474890,991766694,8913997912
Afghanistan-2016,Afghanistan,2016,156.0609379454172,5415410056,Low income,South Asia,2.5,Yes,34700612,147275094,252460219,59188278,5624,122485504,88467556,444354574,777101680,3524071527
Afghanistan-2017,Afghanistan,2017,171.63843635677097,6125592827,Low income,South Asia,2.5,Yes,35688934,146592678,226188889,65960209,1033426,108942676,218812671,301920897,612063414,4444077967
Afghanistan-2018,Afghanistan,2018,168.21277415294907,6180648521,Low income,South Asia,2.5,Yes,36743039,79918462,197277853,126666259,2020861,112206170,76294553,157418185,457093574,4971752604
Afghanistan-2019,Afghanistan,2019,145.0280811391109,5490200588,Low income,South Asia,2.5,Yes,37856121,28962528,176434984,108862842,160637,121630605,109015139,184228604,753550112,4007355137
Afghanistan-2020,Afghanistan,2020,111.45006087822259,4354240088,Low income,South Asia,0.83,Yes,39068979,8424598,137894843,195897818,2691808,150701733,100924366,208859768,584425432,2964419722
Afghanistan-2021,Afghanistan,2021,28.820820870545035,1152844709,Low income,South Asia,0.0,Yes,40000412,9288177,216818790,242809416,1783212,59327930,49919929,208099805,314217070,50580380
Afghanistan-2022,Afghanistan,2022,48.090544254564975,1951458597,Low income,South Asia,0.0,Yes,40578842,6212830,101307642,1447555908,0,74681224,78109210,158863677,36184563,48543543
Afghanistan-2023,Afghanistan,2023,30.723822940385546,1273648737,Low income,South Asia,0.0,Yes,41454761,4830040,35423906,934248560,3543,28678039,94559646,131971612,9624506,34308885
Afghanistan-2024,Afghanistan,2024,14.63620564135401,624197463,Low income,South Asia,,No,42647492,1126007,21773445,429944891,0,11087674,60557392,58948311,22641054,18118689
Albania-2000,Albania,2000,0.0,0,Upper middle income,Europe & Central Asia,5.83,No,3166147,0,0,0,0,0,0,0,0,0
Albania-2001,Albania,2001,21.751486605697753,68472440,Upper middle income,Europe & Central Asia,6.67,No,3147943,245880,1339527,8425480,1543698,8384991,690365,23510362,4375040,19957097
Albania-2002,Albania,2002,29.50809006244871,92481069,Upper middle income,Europe & Central Asia,6.67,No,3134092,0,2417294,5493564,350773,25985412,4346547,33148005,11620316,9119158
Albania-2003,Albania,2003,26.827305973181634,83649874,Upper middle income,Europe & Central Asia,6.67,No,3118087,0,3371728,52936,16807,6062526,11658364,33006786,12636336,16844391
Albania-2004,Albania,2004,31.25243258611715,96840569,Upper middle income,Europe & Central Asia,6.67,No,3098657,0,2485746,80139,0,6497318,6356903,32572835,11714366,37133262
Albania-2005,Albania,2005,23.333121922501405,71776393,Upper middle income,Europe & Central Asia,6.67,No,3076159,0,1874965,0,67198,7741476,5804793,17738981,14060860,24488120
Albania-2006,Albania,2006,23.190907785740695,70751007,Upper middle income,Europe & Central Asia,6.67,No,3050808,0,2074444,1002641,0,9144617,5584001,18387765,10169181,24388358
Albania-2007,Albania,2007,19.629204134987514,59336866,Upper middle income,Europe & Central Asia,6.67,No,3022887,34645,2303436,0,116342,11273053,4035874,16746769,10643134,14183613
Albania-2008,Albania,2008,18.529207833126737,55456622,Upper middle income,Europe & Central Asia,6.67,No,2992930,0,2881005,355843,10824,14542523,5466854,12759883,6979729,12459961
Albania-2009,Albania,2009,18.108703455266777,53628545,Upper middle income,Europe & Central Asia,6.67,No,2961479,0,4333759,0,65216,1608439,3845783,13494752,17305226,12975370
Albania-2010,Albania,2010,17.2962829166725,50655987,Upper middle income,Europe & Central Asia,6.67,No,2928721,0,5855039,68059,73708,897252,3483475,10246896,14723539,15308019
Albania-2011,Albania,2011,15.34425437849304,44674858,Upper middle income,Europe & Central Asia,6.67,No,2911504,0,4017163,66669,0,846216,3744812,8605417,14145467,13249114
Albania-2012,Albania,2012,12.444377052402677,36213187,Upper middle income,Europe & Central Asia,6.67,No,2910004,0,3838733,0,135502,936206,3386792,8056778,9940094,9919082
Albania-2013,Albania,2013,13.593280579122375,39523442,Upper middle income,Europe & Central Asia,6.67,No,2907572,0,3408614,0,0,850782,4897804,7892669,14966070,7507503
Albania-2014,Albania,2014,11.06976257245375,32143812,Upper middle income,Europe & Central Asia,6.67,No,2903749,0,3195404,0,75851,809001,832376,5762157,13473925,7995098
Albania-2015,Albania,2015,10.271147907012688,29772278,Upper middle income,Europe & Central Asia,6.67,No,2898632,812414,2692656,31281,0,1159255,501959,5381378,13509884,5683451
Albania-2016,Albania,2016,12.59021569665402,36484758,Upper middle income,Europe & Central Asia,6.67,No,2897866,1084451,3523441,25602,0,1224427,369549,3405256,12149473,14702559
Albania-2017,Albania,2017,11.80948036775397,34226732,Upper middle income,Europe & Central Asia,6.67,No,2898242,996579,2880601,0,0,1461699,450232,4101558,16752426,7583637
Albania-2018,Albania,2018,9.507745580777762,27517612,Upper middle income,Europe & Central Asia,6.67,No,2894231,0,2618878,9428,0,2139916,653071,4143411,11500447,6452461
Albania-2019,Albania,2019,10.870554996535539,31361649,Upper middle income,Europe & Central Asia,6.67,No,2885009,62379,2553336,14079,87622,1586446,618699,2868263,10445230,13125595
Albania-2020,Albania,2020,21.181750537003914,60832992,Upper middle income,Europe & Central Asia,6.67,No,2871953,1320585,2982853,299839,922441,1541185,1293022,1809650,11317949,39345468
Albania-2021,Albania,2021,9.427736534679003,26865608,Upper middle income,Europe & Central Asia,6.67,No,2849635,937076,6411511,85035,0,1133678,4146098,1173933,4783128,8195149
Albania-2022,Albania,2022,17.390188102452672,49172635,Upper middle income,Europe & Central Asia,6.67,No,2827608,105877,7020748,0,20915,1211520,1003486,923359,3696680,35190050
Albania-2023,Albania,2023,10.907459841267865,30668014,Upper middle income,Europe & Central Asia,6.67,No,2811655,0,7520353,301886,5015,1306099,744104,0,10610904,10179653
Albania-2024,Albania,2024,8.479568473552922,23672954,Upper middle income,Europe & Central Asia,,No,2791764,0,6138356,2475249,294321,2323725,1317320,1703,9177520,1944760
Algeria-2000,Algeria,2000,0.0,0,Upper middle income,Middle East & North Africa,2.5,Yes,30903892,0,0,0,0,0,0,0,0,0
Algeria-2001,Algeria,2001,0.021374015395059134,669674,Upper middle income,Middle East & North Africa,2.5,Yes,31331221,0,0,0,23756,0,328310,4103,114897,198608
Algeria-2002,Algeria,2002,0.16946764296018177,5380739,Upper middle income,Middle East & North Africa,2.5,Yes,31750834,0,0,3392556,23431,0,4040,1771644,80798,108270
Algeria-2003,Algeria,2003,0.18210651807225284,5859426,Upper middle income,Middle East & North Africa,2.5,Yes,32175817,0,0,1385916,0,1791585,0,1064684,646896,970345
Algeria-2004,Algeria,2004,0.18976136227321289,6191588,Upper middle income,Middle East & North Africa,2.5,Yes,32628286,0,0,1527734,60509,2246115,0,949018,295389,1112823
Algeria-2005,Algeria,2005,0.11101891800686872,3675753,Upper middle income,Middle East & North Africa,2.5,Yes,33109249,0,0,987746,107054,0,5257,390241,90122,2095333
Algeria-2006,Algeria,2006,0.06707155999734234,2255181,Upper middle income,Middle East & North Africa,2.5,Yes,33623506,0,0,0,159458,0,34106,428053,436286,1197278
Algeria-2007,Algeria,2007,0.1233085408653953,4215847,Upper middle income,Middle East & North Africa,2.5,Yes,34189416,0,0,99106,0,40839,0,426358,653719,2995825
Algeria-2008,Algeria,2008,0.39059890953722237,13599467,Upper middle income,Middle East & North Africa,2.5,Yes,34816961,0,0,9453525,0,0,0,1289045,1223540,1633357
Algeria-2009,Algeria,2009,0.3502017796621034,12428817,Upper middle income,Middle East & North Africa,2.5,Yes,35490445,0,0,9440070,20542,0,11636,1003347,344909,1608313
Algeria-2010,Algeria,2010,0.3735853655200371,13519395,Upper middle income,Middle East & North Africa,2.5,Yes,36188235,0,3742,8886964,88355,0,89531,1383519,282988,2784296
Algeria-2011,Algeria,2011,0.38016734241786826,14029458,Upper middle income,Middle East & North Africa,2.5,Yes,36903375,0,0,10510323,0,0,0,1200800,130771,2187564
Algeria-2012,Algeria,2012,0.43717968517697126,16458139,Upper middle income,Middle East & North Africa,2.5,Yes,37646166,0,0,12337275,0,100543,0,1009655,0,3010666
Algeria-2013,Algeria,2013,0.4123808372696628,15841268,Upper middle income,Middle East & North Africa,2.5,Yes,38414171,0,0,8492766,0,0,209948,1619,90751,7046184
Algeria-2014,Algeria,2014,0.29826379421212024,11693441,Upper middle income,Middle East & North Africa,2.5,Yes,39205030,0,0,5695041,0,125110,0,0,101135,5772155
Algeria-2015,Algeria,2015,0.3102332113903689,12415387,Upper middle income,Middle East & North Africa,2.5,Yes,40019529,89516,1015435,4524595,52134,0,0,378247,75074,6280386
Algeria-2016,Algeria,2016,0.28411219473947597,11606188,Upper middle income,Middle East & North Africa,2.5,Yes,40850721,1181676,308225,4181751,0,0,68393,384805,0,5481338
Algeria-2017,Algeria,2017,0.6435061189203494,26827319,Upper middle income,Middle East & North Africa,2.5,Yes,41689299,2272149,715435,17360965,0,0,0,48828,43335,6386607
Algeria-2018,Algeria,2018,0.1699486190283104,7223672,Upper middle income,Middle East & North Africa,2.5,Yes,42505035,845912,2554,1224045,0,0,0,201302,370998,4578861
Algeria-2019,Algeria,2019,0.4992142197310488,21613253,Upper middle income,Middle East & North Africa,2.5,No,43294546,1721444,2814,201749,0,0,0,114220,341201,19231825
Algeria-2020,Algeria,2020,0.1596413076754235,7030937,Upper middle income,Middle East & North Africa,2.5,Yes,44042091,2057704,1468,1323747,160495,0,0,917876,0,2569647
Algeria-2021,Algeria,2021,0.15945879702372812,7137551,Upper middle income,Middle East & North Africa,2.5,No,44761099,396309,31464,1511327,0,0,2237764,1956057,12298,992332
Algeria-2022,Algeria,2022,0.07194139927426352,3271707,Upper middle income,Middle East & North Africa,2.5,No,45477389,6045,82275,1712141,0,0,7207,78777,451204,934058
Algeria-2023,Algeria,2023,0.13530180159660019,6246102,Upper middle income,Middle East & North Africa,2.5,No,46164219,0,327703,2145391,215000,0,511034,569092,241250,2236632
Algeria-2024,Algeria,2024,0.10246858935666825,4796996,Upper middle income,Middle East & North Africa,,No,46814307,20861,429806,675955,0,0,648927,1025668,361427,1634352
American Samoa-2000,American Samoa,2000,0.0,0,High income,East Asia & Pacific,8.33,No,56854,0,0,0,0,0,0,0,0,0
American Samoa-2001,American Samoa,2001,50.93647342351059,4431746,High income,East Asia & Pacific,8.33,No,57053,0,0,0,0,0,0,2071431,0,144442
American Samoa-2002,American Samoa,2002,49.130943193036714,4282308,High income,East Asia & Pacific,8.33,No,57061,0,0,0,0,0,0,1958550,0,182604
American Samoa-2003,American Samoa,2003,46.7138850401854,4071642,High income,East Asia & Pacific,8.33,No,56970,0,0,0,0,0,0,1915321,0,120500
American Samoa-2004,American Samoa,2004,45.96659733686389,4002448,High income,East Asia & Pacific,8.33,No,56818,0,0,0,0,0,0,2001224,0,0
American Samoa-2005,American Samoa,2005,28.84458882976486,2507052,High income,East Asia & Pacific,8.33,No,56617,0,0,0,0,44340,0,1209186,0,0
American Samoa-2006,American Samoa,2006,25.254900464508573,2189788,High income,East Asia & Pacific,8.33,No,56374,0,0,0,0,0,0,1094894,0,0
American Samoa-2007,American Samoa,2007,34.66588207660697,2998894,High income,East Asia & Pacific,8.33,No,56113,0,0,25484,153388,0,0,1265359,0,55216
American Samoa-2008,American Samoa,2008,27.153202617857744,2343586,High income,East Asia & Pacific,8.33,No,55828,0,0,0,138700,0,0,1009514,0,23579
American Samoa-2009,American Samoa,2009,30.969661588386636,2666292,High income,East Asia & Pacific,8.33,No,55528,0,0,0,0,0,0,1263125,0,70021
American Samoa-2010,American Samoa,2010,65.73194260345767,5645252,High income,East Asia & Pacific,8.33,No,55228,0,0,1593947,69362,1088400,21915,0,0,49002
American Samoa-2011,American Samoa,2011,37.79605030190875,3237022,High income,East Asia & Pacific,8.33,No,54895,0,0,305467,0,1162258,0,0,0,150786
American Samoa-2012,American Samoa,2012,23.56738916260346,2010746,High income,East Asia & Pacific,8.33,No,54489,0,0,0,0,952949,0,0,0,52424
American Samoa-2013,American Samoa,2013,34.742017142385585,2949220,High income,East Asia & Pacific,8.33,No,54006,0,0,476283,0,903122,32181,0,0,63024
American Samoa-2014,American Samoa,2014,24.931669723920063,2103712,High income,East Asia & Pacific,8.33,No,53466,0,0,0,0,970947,25284,0,0,55625
American Samoa-2015,American Samoa,2015,28.217330225236168,2364518,High income,East Asia & Pacific,8.33,No,52878,0,0,0,0,1073402,0,0,0,108857
